rank,entry,entry_type,frequency_band,category,usage_note
157,goodbye,word,High,Core everyday words,Very common word used across daily conversation
158,great,word,High,Core everyday words,Very common word used across daily conversation
159,happy,word,High,Core everyday words,Very common word used across daily conversation
160,hard,word,High,Core everyday words,Very common word used across daily conversation
161,he,word,High,Core everyday words,Very common word used across daily conversation
162,hello,word,High,Core everyday words,Very common word used across daily conversation
163,help,word,High,Core everyday words,Very common word used across daily conversation
164,her,word,High,Core everyday words,Very common word used across daily conversation
165,here,word,High,Core everyday words,Very common word used across daily conversation
166,hey,word,High,Core everyday words,Very common word used across daily conversation
167,hi,word,High,Core everyday words,Very common word used across daily conversation
168,high,word,High,Core everyday words,Very common word used across daily conversation
169,him,word,High,Core everyday words,Very common word used across daily conversation
170,his,word,High,Core everyday words,Very common word used across daily conversation
171,home,word,High,Core everyday words,Very common word used across daily conversation
172,hot,word,High,Core everyday words,Very common word used across daily conversation
173,hotel,word,High,Core everyday words,Very common word used across daily conversation
174,hour,word,High,Core everyday words,Very common word used across daily conversation
175,house,word,High,Core everyday words,Very common word used across daily conversation
176,hungry,word,High,Core everyday words,Very common word used across daily conversation
177,I,word,High,Core everyday words,Very common word used across daily conversation
178,idea,word,High,Core everyday words,Very common word used across daily conversation
179,if,word,High,Core everyday words,Very common word used across daily conversation
180,important,word,High,Core everyday words,Very common word used across daily conversation
181,impossible,word,High,Core everyday words,Very common word used across daily conversation
182,in,word,High,Core everyday words,Very common word used across daily conversation
183,into,word,High,Core everyday words,Very common word used across daily conversation
184,it,word,High,Core everyday words,Very common word used across daily conversation
185,its,word,High,Core everyday words,Very common word used across daily conversation
186,just,word,High,Core everyday words,Very common word used across daily conversation
187,key,word,High,Core everyday words,Very common word used across daily conversation
188,kid,word,High,Core everyday words,Very common word used across daily conversation
189,language,word,High,Core everyday words,Very common word used across daily conversation
190,last,word,High,Core everyday words,Very common word used across daily conversation
191,late,word,High,Core everyday words,Very common word used across daily conversation
192,left,word,High,Core everyday words,Very common word used across daily conversation
193,less,word,High,Core everyday words,Very common word used across daily conversation
194,little,word,High,Core everyday words,Very common word used across daily conversation
195,long,word,High,Core everyday words,Very common word used across daily conversation
196,loud,word,High,Core everyday words,Very common word used across daily conversation
197,low,word,High,Core everyday words,Very common word used across daily conversation
198,lunch,word,High,Core everyday words,Very common word used across daily conversation
199,man,word,High,Core everyday words,Very common word used across daily conversation
200,many,word,High,Core everyday words,Very common word used across daily conversation
201,maybe,word,High,Core everyday words,Very common word used across daily conversation
202,me,word,High,Core everyday words,Very common word used across daily conversation
203,meat,word,High,Core everyday words,Very common word used across daily conversation
204,message,word,High,Core everyday words,Very common word used across daily conversation
205,milk,word,High,Core everyday words,Very common word used across daily conversation
206,mine,word,High,Core everyday words,Very common word used across daily conversation
207,minute,word,High,Core everyday words,Very common word used across daily conversation
208,moment,word,High,Core everyday words,Very common word used across daily conversation
209,money,word,High,Core everyday words,Very common word used across daily conversation
210,month,word,High,Core everyday words,Very common word used across daily conversation
211,more,word,High,Core everyday words,Very common word used across daily conversation
212,morning,word,High,Core everyday words,Very common word used across daily conversation
213,movie,word,High,Core everyday words,Very common word used across daily conversation
214,much,word,High,Core everyday words,Very common word used across daily conversation
215,music,word,High,Core everyday words,Very common word used across daily conversation
216,my,word,High,Core everyday words,Very common word used across daily conversation
217,name,word,High,Core everyday words,Very common word used across daily conversation
218,near,word,High,Core everyday words,Very common word used across daily conversation
219,nervous,word,High,Core everyday words,Very common word used across daily conversation
220,new,word,High,Core everyday words,Very common word used across daily conversation
221,news,word,High,Core everyday words,Very common word used across daily conversation
222,next,word,High,Core everyday words,Very common word used across daily conversation
223,nice,word,High,Core everyday words,Very common word used across daily conversation
224,night,word,High,Core everyday words,Very common word used across daily conversation
225,no,word,High,Core everyday words,Very common word used across daily conversation
226,normal,word,High,Core everyday words,Very common word used across daily conversation
227,now,word,High,Core everyday words,Very common word used across daily conversation
228,number,word,High,Core everyday words,Very common word used across daily conversation
229,off,word,High,Core everyday words,Very common word used across daily conversation
230,ok,word,High,Core everyday words,Very common word used across daily conversation
231,okay,word,High,Core everyday words,Very common word used across daily conversation
232,old,word,High,Core everyday words,Very common word used across daily conversation
233,on,word,High,Core everyday words,Very common word used across daily conversation
234,only,word,High,Core everyday words,Very common word used across daily conversation
235,open,word,High,Core everyday words,Very common word used across daily conversation
236,or,word,High,Core everyday words,Very common word used across daily conversation
237,other,word,High,Core everyday words,Very common word used across daily conversation
238,our,word,High,Core everyday words,Very common word used across daily conversation
239,out,word,High,Core everyday words,Very common word used across daily conversation
240,over,word,High,Core everyday words,Very common word used across daily conversation
241,passport,word,High,Core everyday words,Very common word used across daily conversation
242,people,word,High,Core everyday words,Very common word used across daily conversation
243,person,word,High,Core everyday words,Very common word used across daily conversation
244,phone,word,High,Core everyday words,Very common word used across daily conversation
245,photo,word,High,Core everyday words,Very common word used across daily conversation
246,picture,word,High,Core everyday words,Very common word used across daily conversation
247,place,word,High,Core everyday words,Very common word used across daily conversation
248,plan,word,High,Core everyday words,Very common word used across daily conversation
249,plane,word,High,Core everyday words,Very common word used across daily conversation
250,please,word,High,Core everyday words,Very common word used across daily conversation
251,possible,word,High,Core everyday words,Very common word used across daily conversation
252,problem,word,High,Core everyday words,Very common word used across daily conversation
253,question,word,High,Core everyday words,Very common word used across daily conversation
254,quiet,word,High,Core everyday words,Very common word used across daily conversation
255,ready,word,High,Core everyday words,Very common word used across daily conversation
256,really,word,High,Core everyday words,Very common word used across daily conversation
257,reason,word,High,Core everyday words,Very common word used across daily conversation
258,restaurant,word,High,Core everyday words,Very common word used across daily conversation
259,rice,word,High,Core everyday words,Very common word used across daily conversation
260,right,word,High,Core everyday words,Very common word used across daily conversation
261,road,word,High,Core everyday words,Very common word used across daily conversation
262,room,word,High,Core everyday words,Very common word used across daily conversation
263,sad,word,High,Core everyday words,Very common word used across daily conversation
264,safe,word,High,Core everyday words,Very common word used across daily conversation
265,same,word,High,Core everyday words,Very common word used across daily conversation
266,school,word,High,Core everyday words,Very common word used across daily conversation
267,shampoo,word,High,Core everyday words,Very common word used across daily conversation
268,she,word,High,Core everyday words,Very common word used across daily conversation
269,shop,word,High,Core everyday words,Very common word used across daily conversation
270,short,word,High,Core everyday words,Very common word used across daily conversation
271,shower,word,High,Core everyday words,Very common word used across daily conversation
272,sick,word,High,Core everyday words,Very common word used across daily conversation
273,simple,word,High,Core everyday words,Very common word used across daily conversation
274,slow,word,High,Core everyday words,Very common word used across daily conversation
275,small,word,High,Core everyday words,Very common word used across daily conversation
276,so,word,High,Core everyday words,Very common word used across daily conversation
277,soap,word,High,Core everyday words,Very common word used across daily conversation
278,some,word,High,Core everyday words,Very common word used across daily conversation
279,sorry,word,High,Core everyday words,Very common word used across daily conversation
280,Spanish,word,High,Core everyday words,Very common word used across daily conversation
281,store,word,High,Core everyday words,Very common word used across daily conversation
282,strange,word,High,Core everyday words,Very common word used across daily conversation
283,street,word,High,Core everyday words,Very common word used across daily conversation
284,strong,word,High,Core everyday words,Very common word used across daily conversation
285,suitcase,word,High,Core everyday words,Very common word used across daily conversation
286,sure,word,High,Core everyday words,Very common word used across daily conversation
287,surprised,word,High,Core everyday words,Very common word used across daily conversation
288,table,word,High,Core everyday words,Very common word used across daily conversation
289,tea,word,High,Core everyday words,Very common word used across daily conversation
290,text,word,High,Core everyday words,Very common word used across daily conversation
291,thank,word,High,Core everyday words,Very common word used across daily conversation
292,thanks,word,High,Core everyday words,Very common word used across daily conversation
293,that,word,High,Core everyday words,Very common word used across daily conversation
294,their,word,High,Core everyday words,Very common word used across daily conversation
295,them,word,High,Core everyday words,Very common word used across daily conversation
296,then,word,High,Core everyday words,Very common word used across daily conversation
297,there,word,High,Core everyday words,Very common word used across daily conversation
298,these,word,High,Core everyday words,Very common word used across daily conversation
299,they,word,High,Core everyday words,Very common word used across daily conversation
300,thing,word,High,Core everyday words,Very common word used across daily conversation
301,things,word,High,Core everyday words,Very common word used across daily conversation
302,thirsty,word,High,Core everyday words,Very common word used across daily conversation
303,this,word,High,Core everyday words,Very common word used across daily conversation
304,those,word,High,Core everyday words,Very common word used across daily conversation
305,through,word,High,Core everyday words,Very common word used across daily conversation
306,ticket,word,High,Core everyday words,Very common word used across daily conversation
307,time,word,High,Core everyday words,Very common word used across daily conversation
308,tired,word,High,Core everyday words,Very common word used across daily conversation
309,to,word,High,Core everyday words,Very common word used across daily conversation
310,today,word,High,Core everyday words,Very common word used across daily conversation
311,together,word,High,Core everyday words,Very common word used across daily conversation
312,toilet,word,High,Core everyday words,Very common word used across daily conversation
313,tomorrow,word,High,Core everyday words,Very common word used across daily conversation
314,too,word,High,Core everyday words,Very common word used across daily conversation
315,towel,word,High,Core everyday words,Very common word used across daily conversation
316,town,word,High,Core everyday words,Very common word used across daily conversation
317,traffic,word,High,Core everyday words,Very common word used across daily conversation
318,train,word,High,Core everyday words,Very common word used across daily conversation
319,true,word,High,Core everyday words,Very common word used across daily conversation
320,ugly,word,High,Core everyday words,Very common word used across daily conversation
321,under,word,High,Core everyday words,Very common word used across daily conversation
322,up,word,High,Core everyday words,Very common word used across daily conversation
323,Urdu,word,High,Core everyday words,Very common word used across daily conversation
324,us,word,High,Core everyday words,Very common word used across daily conversation
325,vegetables,word,High,Core everyday words,Very common word used across daily conversation
326,very,word,High,Core everyday words,Very common word used across daily conversation
327,visa,word,High,Core everyday words,Very common word used across daily conversation
328,warm,word,High,Core everyday words,Very common word used across daily conversation
329,water,word,High,Core everyday words,Very common word used across daily conversation
330,way,word,High,Core everyday words,Very common word used across daily conversation
331,we,word,High,Core everyday words,Very common word used across daily conversation
332,weak,word,High,Core everyday words,Very common word used across daily conversation
333,weather,word,High,Core everyday words,Very common word used across daily conversation
334,week,word,High,Core everyday words,Very common word used across daily conversation
335,weekend,word,High,Core everyday words,Very common word used across daily conversation
336,well,word,High,Core everyday words,Very common word used across daily conversation
337,when,word,High,Core everyday words,Very common word used across daily conversation
338,while,word,High,Core everyday words,Very common word used across daily conversation
339,window,word,High,Core everyday words,Very common word used across daily conversation
340,with,word,High,Core everyday words,Very common word used across daily conversation
341,without,word,High,Core everyday words,Very common word used across daily conversation
342,woman,word,High,Core everyday words,Very common word used across daily conversation
343,work,word,High,Core everyday words,Very common word used across daily conversation
344,worried,word,High,Core everyday words,Very common word used across daily conversation
345,wrong,word,High,Core everyday words,Very common word used across daily conversation
346,year,word,High,Core everyday words,Very common word used across daily conversation
347,yes,word,High,Core everyday words,Very common word used across daily conversation
348,yesterday,word,High,Core everyday words,Very common word used across daily conversation
349,you,word,High,Core everyday words,Very common word used across daily conversation
350,young,word,High,Core everyday words,Very common word used across daily conversation
351,your,word,High,Core everyday words,Very common word used across daily conversation
352,yours,word,High,Core everyday words,Very common word used across daily conversation
353,annoyed,word,High,Feelings and states,Common standalone word used in daily conversation
354,better,word,High,Feelings and states,Common standalone word used in daily conversation
355,lonely,word,High,Feelings and states,Common standalone word used in daily conversation
356,proud,word,High,Feelings and states,Common standalone word used in daily conversation
357,scared,word,High,Feelings and states,Common standalone word used in daily conversation
358,sleepy,word,High,Feelings and states,Common standalone word used in daily conversation
359,stressed,word,High,Feelings and states,Common standalone word used in daily conversation
360,unsure,word,High,Feelings and states,Common standalone word used in daily conversation
361,upset,word,High,Feelings and states,Common standalone word used in daily conversation
362,worse,word,High,Feelings and states,Common standalone word used in daily conversation
363,break,word,High,Time words,Common standalone word used in daily conversation
364,deadline,word,High,Time words,Common standalone word used in daily conversation
365,lunchbreak,word,High,Time words,Common standalone word used in daily conversation
366,schedule,word,High,Time words,Common standalone word used in daily conversation
367,tonight,word,High,Time words,Common standalone word used in daily conversation
368,weekday,word,High,Time words,Common standalone word used in daily conversation
369,A little bit.,phrase,High,Casual replies,Curated natural spoken phrase
370,Actually.,phrase,High,Casual replies,Curated natural spoken phrase
371,All done.,phrase,High,Casual replies,Curated natural spoken phrase
372,Almost done.,phrase,High,Casual replies,Curated natural spoken phrase
373,Already done.,phrase,High,Casual replies,Curated natural spoken phrase
374,Another day.,phrase,High,Casual replies,Curated natural spoken phrase
375,Anyway.,phrase,High,Casual replies,Curated natural spoken phrase
376,Apparently.,phrase,High,Casual replies,Curated natural spoken phrase
377,At first.,phrase,High,Casual replies,Curated natural spoken phrase
378,At least.,phrase,High,Casual replies,Curated natural spoken phrase
379,Bad idea.,phrase,High,Casual replies,Curated natural spoken phrase
380,Basically.,phrase,High,Casual replies,Curated natural spoken phrase
381,Be careful.,phrase,High,Casual replies,Curated natural spoken phrase
382,Believe me.,phrase,High,Casual replies,Curated natural spoken phrase
383,Bring it here.,phrase,High,Casual replies,Curated natural spoken phrase
384,By the way.,phrase,High,Casual replies,Curated natural spoken phrase
385,Calm down.,phrase,High,Casual replies,Curated natural spoken phrase
386,Can't complain.,phrase,High,Casual replies,Curated natural spoken phrase
387,Come here.,phrase,High,Casual replies,Curated natural spoken phrase
388,Come in.,phrase,High,Casual replies,Curated natural spoken phrase
389,Come on.,phrase,High,Casual replies,Curated natural spoken phrase
390,Doesn't matter.,phrase,High,Casual replies,Curated natural spoken phrase
391,Don't do that.,phrase,High,Casual replies,Curated natural spoken phrase
392,Don't forget.,phrase,High,Casual replies,Curated natural spoken phrase
393,Don't stress.,phrase,High,Casual replies,Curated natural spoken phrase
394,Don't take it the wrong way.,phrase,High,Casual replies,Curated natural spoken phrase
395,Done.,phrase,High,Casual replies,Curated natural spoken phrase
396,Enough already.,phrase,High,Casual replies,Curated natural spoken phrase
397,Fair point.,phrase,High,Casual replies,Curated natural spoken phrase
398,Fingers crossed.,phrase,High,Casual replies,Curated natural spoken phrase
399,Follow me.,phrase,High,Casual replies,Curated natural spoken phrase
400,For now.,phrase,High,Casual replies,Curated natural spoken phrase
401,For sure.,phrase,High,Casual replies,Curated natural spoken phrase
402,Give it to me.,phrase,High,Casual replies,Curated natural spoken phrase
403,Give me a call.,phrase,High,Casual replies,Curated natural spoken phrase
404,Give me a chance.,phrase,High,Casual replies,Curated natural spoken phrase
405,Give me a minute.,phrase,High,Casual replies,Curated natural spoken phrase
406,Good for you.,phrase,High,Casual replies,Curated natural spoken phrase
407,Good idea.,phrase,High,Casual replies,Curated natural spoken phrase
408,Honestly.,phrase,High,Casual replies,Curated natural spoken phrase
409,How far?,phrase,High,Casual replies,Curated natural spoken phrase
410,How long?,phrase,High,Casual replies,Curated natural spoken phrase
411,How many?,phrase,High,Casual replies,Curated natural spoken phrase
412,How much?,phrase,High,Casual replies,Curated natural spoken phrase
413,How often?,phrase,High,Casual replies,Curated natural spoken phrase
414,How old?,phrase,High,Casual replies,Curated natural spoken phrase
415,Hurry up.,phrase,High,Casual replies,Curated natural spoken phrase
416,I can handle it.,phrase,High,Casual replies,Curated natural spoken phrase
417,I can imagine.,phrase,High,Casual replies,Curated natural spoken phrase
418,I can't imagine.,phrase,High,Casual replies,Curated natural spoken phrase
419,I didn't mean that.,phrase,High,Casual replies,Curated natural spoken phrase
420,I don't blame you.,phrase,High,Casual replies,Curated natural spoken phrase
421,I get what you mean.,phrase,High,Casual replies,Curated natural spoken phrase
422,I hope it works out.,phrase,High,Casual replies,Curated natural spoken phrase
423,"I know, right?",phrase,High,Casual replies,Curated natural spoken phrase
424,I know.,phrase,High,Casual replies,Curated natural spoken phrase
425,I mean it.,phrase,High,Casual replies,Curated natural spoken phrase
426,I promise.,phrase,High,Casual replies,Curated natural spoken phrase
427,I swear.,phrase,High,Casual replies,Curated natural spoken phrase
428,I was just joking.,phrase,High,Casual replies,Curated natural spoken phrase
429,I was thinking the same thing.,phrase,High,Casual replies,Curated natural spoken phrase
430,I'll manage.,phrase,High,Casual replies,Curated natural spoken phrase
431,I'm happy for you.,phrase,High,Casual replies,Curated natural spoken phrase
432,I'm kidding.,phrase,High,Casual replies,Curated natural spoken phrase
433,I'm serious.,phrase,High,Casual replies,Curated natural spoken phrase
434,In the end.,phrase,High,Casual replies,Curated natural spoken phrase
435,It didn't work.,phrase,High,Casual replies,Curated natural spoken phrase
436,It happens.,phrase,High,Casual replies,Curated natural spoken phrase
437,It worked.,phrase,High,Casual replies,Curated natural spoken phrase
438,It's done.,phrase,High,Casual replies,Curated natural spoken phrase
439,It's not a big deal.,phrase,High,Casual replies,Curated natural spoken phrase
440,It's not worth it.,phrase,High,Casual replies,Curated natural spoken phrase
441,It's worth a try.,phrase,High,Casual replies,Curated natural spoken phrase
442,Just a little.,phrase,High,Casual replies,Curated natural spoken phrase
443,Just checking.,phrase,High,Casual replies,Curated natural spoken phrase
444,Just for fun.,phrase,High,Casual replies,Curated natural spoken phrase
445,Just in case.,phrase,High,Casual replies,Curated natural spoken phrase
446,Just saying.,phrase,High,Casual replies,Curated natural spoken phrase
447,Just wondering.,phrase,High,Casual replies,Curated natural spoken phrase
448,Keep going.,phrase,High,Casual replies,Curated natural spoken phrase
449,Keep it.,phrase,High,Casual replies,Curated natural spoken phrase
450,Kind of.,phrase,High,Casual replies,Curated natural spoken phrase
451,Leave it there.,phrase,High,Casual replies,Curated natural spoken phrase
452,Leave it to me.,phrase,High,Casual replies,Curated natural spoken phrase
453,Let me ask.,phrase,High,Casual replies,Curated natural spoken phrase
454,Let me be clear.,phrase,High,Casual replies,Curated natural spoken phrase
455,Let me do it.,phrase,High,Casual replies,Curated natural spoken phrase
456,Let me finish.,phrase,High,Casual replies,Curated natural spoken phrase
457,Let me handle it.,phrase,High,Casual replies,Curated natural spoken phrase
458,Let me help.,phrase,High,Casual replies,Curated natural spoken phrase
459,Let me know.,phrase,High,Casual replies,Curated natural spoken phrase
460,Let me try.,phrase,High,Casual replies,Curated natural spoken phrase
461,Let's go.,phrase,High,Casual replies,Curated natural spoken phrase
462,Let's hope so.,phrase,High,Casual replies,Curated natural spoken phrase
463,Let's hurry.,phrase,High,Casual replies,Curated natural spoken phrase
464,Let's leave.,phrase,High,Casual replies,Curated natural spoken phrase
465,Let's wait.,phrase,High,Casual replies,Curated natural spoken phrase
466,Listen to me.,phrase,High,Casual replies,Curated natural spoken phrase
467,Look at that.,phrase,High,Casual replies,Curated natural spoken phrase
468,Look at this.,phrase,High,Casual replies,Curated natural spoken phrase
469,Look over there.,phrase,High,Casual replies,Curated natural spoken phrase
470,Luckily.,phrase,High,Casual replies,Curated natural spoken phrase
471,Lucky you.,phrase,High,Casual replies,Curated natural spoken phrase
472,Makes sense.,phrase,High,Casual replies,Curated natural spoken phrase
473,Maybe later.,phrase,High,Casual replies,Curated natural spoken phrase
474,Me neither.,phrase,High,Casual replies,Curated natural spoken phrase
475,Me too.,phrase,High,Casual replies,Curated natural spoken phrase
476,More or less.,phrase,High,Casual replies,Curated natural spoken phrase
477,More than enough.,phrase,High,Casual replies,Curated natural spoken phrase
478,No kidding.,phrase,High,Casual replies,Curated natural spoken phrase
479,No offense.,phrase,High,Casual replies,Curated natural spoken phrase
480,No way.,phrase,High,Casual replies,Curated natural spoken phrase
481,Not at all.,phrase,High,Casual replies,Curated natural spoken phrase
